fam_id,dataset,num_sequences,split
PF11832,Pfam,954,val
PF08804,Pfam,284,val
PF14076,Pfam,935,val
PF11795,Pfam,611,val
PF16089,Pfam,166,val
PF07950,Pfam,734,val
PF03280,Pfam,431,val
PF17329,Pfam,171,val
PF10938,Pfam,272,val
PF18066,Pfam,121,val
PF10320,Pfam,2354,val
PF10156,Pfam,1820,val
PF18426,Pfam,259,val
PF12090,Pfam,3055,val
PF04144,Pfam,6919,val
PF15283,Pfam,76,val
PF07201,Pfam,209,val
PF14997,Pfam,1872,val
PF13944,Pfam,193,val
PF08928,Pfam,189,val
PF12722,Pfam,2802,val
PF05932,Pfam,800,val
PF11788,Pfam,1863,val
PF07569,Pfam,2921,val
PF14011,Pfam,2026,val
PF07895,Pfam,28,val
PF13346,Pfam,1825,val
PF15501,Pfam,1728,val
PF18778,Pfam,747,val
PF16126,Pfam,646,val
PF08842,Pfam,527,val
PF08641,Pfam,1439,val
PF14470,Pfam,605,val
PF09832,Pfam,2063,val
PF09753,Pfam,2157,val
PF13163,Pfam,423,val
PF14106,Pfam,608,val
PF10510,Pfam,2735,val
PF10098,Pfam,1649,val
PF05794,Pfam,4989,val
PF04738,Pfam,2246,val
PF00794,Pfam,6350,val
PF10317,Pfam,1914,val
PF09829,Pfam,513,val
PF08689,Pfam,785,val
PF04947,Pfam,193,val
PF14337,Pfam,490,val
PF12298,Pfam,1081,val
PF10040,Pfam,1069,val
PF11368,Pfam,193,val
PF10912,Pfam,122,val
PF03496,Pfam,2078,val
PF07030,Pfam,737,val
PF14460,Pfam,390,val
PF18737,Pfam,194,val
PF05119,Pfam,2046,val
PF07916,Pfam,856,val
PF14749,Pfam,5059,val
PF03800,Pfam,2345,val
PF05790,Pfam,1274,val
PF14778,Pfam,1858,val
PF02765,Pfam,2297,val
PF15700,Pfam,48,val
PF17643,Pfam,81,val
PF14032,Pfam,776,val
PF12632,Pfam,1767,val
PF02522,Pfam,1655,val
PF11566,Pfam,3012,val
PF02010,Pfam,3892,val
PF12236,Pfam,824,val
PF03318,Pfam,750,val
PF06381,Pfam,638,val
PF04612,Pfam,1628,val
PF13194,Pfam,1370,val
PF13911,Pfam,5357,val
PF08708,Pfam,928,val
PF01905,Pfam,462,val
PF07967,Pfam,2588,val
PF07666,Pfam,293,val
PF06321,Pfam,249,val
PF05133,Pfam,2510,val
PF14351,Pfam,337,val
PF18157,Pfam,247,val
PF01057,Pfam,249,val
PF14532,Pfam,1642,val
PF18862,Pfam,355,val
PF03265,Pfam,6038,val
PF00921,Pfam,188,val
PF14594,Pfam,525,val
PF09624,Pfam,119,val
PF09148,Pfam,1670,val
PF14121,Pfam,1038,val
PF17683,Pfam,2278,val
PF04092,Pfam,1216,val
PF14078,Pfam,766,val
PF11262,Pfam,3214,val
PF05473,Pfam,120,val
PF01901,Pfam,114,val
PF04152,Pfam,2658,val
PF07022,Pfam,800,val
PF11315,Pfam,1255,val
PF14418,Pfam,671,val
PF07369,Pfam,920,val
PF18202,Pfam,1035,val
PF09700,Pfam,492,val
PF18830,Pfam,199,val
PF10734,Pfam,253,val
PF09112,Pfam,515,val
PF03537,Pfam,3005,val
PF14016,Pfam,3110,val
PF11911,Pfam,2640,val
PF14433,Pfam,834,val
PF09808,Pfam,1795,val
PF02332,Pfam,1316,val
PF18755,Pfam,3394,val
PF10506,Pfam,2511,val
PF17285,Pfam,2589,val
PF14885,Pfam,327,val
PF15960,Pfam,70,val
PF17244,Pfam,429,val
PF18145,Pfam,502,val
PF13687,Pfam,2075,val
PF14700,Pfam,3731,val
PF13835,Pfam,1369,val
PF05228,Pfam,1450,val
PF14345,Pfam,1120,val
PF18719,Pfam,619,val
PF06834,Pfam,812,val
PF11060,Pfam,78,val
PF17914,Pfam,421,val
PF14977,Pfam,1364,val
PF14163,Pfam,195,val
PF14052,Pfam,1186,val
PF12726,Pfam,1242,val
PF11655,Pfam,418,val
PF05176,Pfam,1348,val
PF13908,Pfam,6080,val
PF08341,Pfam,1067,val
PF16969,Pfam,3041,val
PF17929,Pfam,881,val
PF17013,Pfam,24,val
PF18451,Pfam,303,val
PF11612,Pfam,1096,val
PF08357,Pfam,5245,val
PF09977,Pfam,477,val
PF10521,Pfam,1291,val
PF18417,Pfam,410,val
PF12939,Pfam,45,val
PF03125,Pfam,1512,val
PF12851,Pfam,3005,val
PF14473,Pfam,1466,val
PF09960,Pfam,214,val
PF14348,Pfam,427,val
PF14303,Pfam,3013,val
PF06097,Pfam,886,val
PF14270,Pfam,644,val
PF08661,Pfam,2300,val
PF16032,Pfam,131,val
PF13204,Pfam,1517,val
PF05527,Pfam,2853,val
PF13093,Pfam,535,val
PF13197,Pfam,577,val
PF10505,Pfam,1169,val
PF10756,Pfam,3532,val
PF07464,Pfam,125,val
PF12863,Pfam,53,val
PF13506,Pfam,3399,val
PF14900,Pfam,240,val
PF14611,Pfam,309,val
PF15976,Pfam,124,val
PF09234,Pfam,1615,val
PF09786,Pfam,1975,val
PF15515,Pfam,242,val
PF09982,Pfam,1255,val
PF15625,Pfam,1213,val
PF12736,Pfam,4298,val
PF10229,Pfam,1550,val
PF11168,Pfam,317,val
PF13739,Pfam,1740,val
PF14845,Pfam,5096,val
PF05405,Pfam,2449,val
PF11907,Pfam,1460,val
PF14663,Pfam,2403,val
PF08580,Pfam,830,val
PF00729,Pfam,160,val
PF05400,Pfam,916,val
PF14436,Pfam,516,val
PF14075,Pfam,2510,val
PF06028,Pfam,699,val
PF17656,Pfam,1131,val
PF13994,Pfam,247,val
PF05615,Pfam,2313,val
PF10462,Pfam,214,val
PF10018,Pfam,2221,val
PF04157,Pfam,5128,val
PF02442,Pfam,117,val
PF12063,Pfam,2755,val
PF09229,Pfam,3775,val
PF03121,Pfam,1384,val
PF05478,Pfam,4774,val
PF16043,Pfam,1251,val
PF03995,Pfam,2282,val
PF17619,Pfam,391,val
PF15657,Pfam,128,val
PF08878,Pfam,514,val
PF10256,Pfam,4351,val
PF12950,Pfam,1244,val
PF13455,Pfam,1663,val
PF15375,Pfam,1508,val
PF13477,Pfam,1930,val
PF15019,Pfam,1037,val
PF18754,Pfam,295,val
PF08622,Pfam,938,val
PF12462,Pfam,210,val
PF11884,Pfam,81,val
PF08721,Pfam,370,val
PF11019,Pfam,128,val
PF03543,Pfam,138,val
PF02952,Pfam,1834,val
PF12276,Pfam,1182,val
PF07934,Pfam,3478,val
PF13934,Pfam,2164,val
PF14895,Pfam,767,val
PF04283,Pfam,255,val
PF12309,Pfam,1333,val
PF11185,Pfam,1300,val
PF11997,Pfam,1344,val
PF12051,Pfam,1947,val
PF13001,Pfam,2781,val
PF12297,Pfam,843,val
PF13092,Pfam,1355,val
PF18159,Pfam,151,val
PF18692,Pfam,57,val
PF15980,Pfam,583,val
PF01802,Pfam,83,val
PF04497,Pfam,99,val
PF12296,Pfam,2163,val
PF17053,Pfam,53,val
PF05817,Pfam,3445,val
PF07165,Pfam,395,val
PF15280,Pfam,1249,val
PF08786,Pfam,417,val
PF11790,Pfam,3646,val
PF05837,Pfam,1108,val
PF14868,Pfam,1238,val
PF12385,Pfam,631,val
PF11006,Pfam,483,val
PF13762,Pfam,65,val
PF14317,Pfam,1799,val
PF18155,Pfam,251,val
PF04938,Pfam,2589,test
PF01681,Pfam,487,test
PF04931,Pfam,2730,test
PF05236,Pfam,4409,test
PF01752,Pfam,682,test
PF12245,Pfam,533,test
PF11198,Pfam,254,test
PF12891,Pfam,375,test
PF06728,Pfam,2873,test
PF16316,Pfam,1939,test
PF02596,Pfam,831,test
PF11367,Pfam,1746,test
PF13303,Pfam,1383,test
PF13814,Pfam,1303,test
PF12231,Pfam,2109,test
PF16027,Pfam,283,test
PF14564,Pfam,79,test
PF11855,Pfam,971,test
PF18864,Pfam,307,test
PF06726,Pfam,1394,test
PF10109,Pfam,905,test
PF14058,Pfam,355,test
PF10318,Pfam,2924,test
PF14430,Pfam,584,test
PF16411,Pfam,736,test
PF01203,Pfam,1091,test
PF06691,Pfam,672,test
PF05107,Pfam,1398,test
PF14487,Pfam,744,test
PF15699,Pfam,853,test
PF04912,Pfam,2714,test
PF15862,Pfam,1002,test
PF12673,Pfam,1926,test
PF15065,Pfam,1132,test
PF17979,Pfam,1396,test
PF05940,Pfam,2088,test
PF09507,Pfam,2417,test
PF07787,Pfam,1513,test
PF14683,Pfam,3693,test
PF05708,Pfam,1584,test
PF08874,Pfam,1021,test
PF05942,Pfam,306,test
