2024-05-13 22:00:44,709 INFO    MainThread:7039 [wandb_setup.py:_flush():76] Current SDK version is 0.17.0
2024-05-13 22:00:44,710 INFO    MainThread:7039 [wandb_setup.py:_flush():76] Configure stats pid to 7039
2024-05-13 22:00:44,710 INFO    MainThread:7039 [wandb_setup.py:_flush():76] Loading settings from /Users/davidmiller/.config/wandb/settings
2024-05-13 22:00:44,710 INFO    MainThread:7039 [wandb_setup.py:_flush():76] Loading settings from /Users/davidmiller/Projects/profam/lightning-hydra-template/wandb/settings
2024-05-13 22:00:44,710 INFO    MainThread:7039 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-13 22:00:44,710 INFO    MainThread:7039 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-13 22:00:44,710 INFO    MainThread:7039 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'src/train.py', 'program_abspath': '/Users/davidmiller/Projects/profam/lightning-hydra-template/src/train.py', 'program': '/Users/davidmiller/Projects/profam/lightning-hydra-template/src/train.py'}
2024-05-13 22:00:44,710 INFO    MainThread:7039 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-13 22:00:44,710 INFO    MainThread:7039 [wandb_init.py:_log_setup():520] Logging user logs to /Users/davidmiller/Projects/profam/lightning-hydra-template/logs/train/runs/2024-05-13_22-00-43/wandb/run-20240513_220044-49n457gd/logs/debug.log
2024-05-13 22:00:44,710 INFO    MainThread:7039 [wandb_init.py:_log_setup():521] Logging internal logs to /Users/davidmiller/Projects/profam/lightning-hydra-template/logs/train/runs/2024-05-13_22-00-43/wandb/run-20240513_220044-49n457gd/logs/debug-internal.log
2024-05-13 22:00:44,710 INFO    MainThread:7039 [wandb_init.py:init():560] calling init triggers
2024-05-13 22:00:44,710 INFO    MainThread:7039 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-05-13 22:00:44,710 INFO    MainThread:7039 [wandb_init.py:init():610] starting backend
2024-05-13 22:00:44,710 INFO    MainThread:7039 [wandb_init.py:init():614] setting up manager
2024-05-13 22:00:44,715 INFO    MainThread:7039 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-05-13 22:00:44,717 INFO    MainThread:7039 [wandb_init.py:init():622] backend started and connected
2024-05-13 22:00:44,725 INFO    MainThread:7039 [wandb_init.py:init():711] updated telemetry
2024-05-13 22:00:44,749 INFO    MainThread:7039 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-05-13 22:00:45,467 INFO    MainThread:7039 [wandb_run.py:_on_init():2396] communicating current version
2024-05-13 22:00:45,610 INFO    MainThread:7039 [wandb_run.py:_on_init():2405] got version response 
2024-05-13 22:00:45,610 INFO    MainThread:7039 [wandb_init.py:init():795] starting run threads in backend
2024-05-13 22:00:47,206 INFO    MainThread:7039 [wandb_run.py:_console_start():2374] atexit reg
2024-05-13 22:00:47,206 INFO    MainThread:7039 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-05-13 22:00:47,206 INFO    MainThread:7039 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-05-13 22:00:47,206 INFO    MainThread:7039 [wandb_run.py:_redirect():2319] Redirects installed.
2024-05-13 22:00:47,207 INFO    MainThread:7039 [wandb_init.py:init():838] run started, returning control to user process
2024-05-13 22:00:47,208 INFO    MainThread:7039 [wandb_run.py:_config_callback():1376] config_cb None None {'model': {'_target_': 'src.models.mnist_module.MNISTLitModule', 'optimizer': {'_target_': 'torch.optim.Adam', '_partial_': True, 'lr': 0.001, 'weight_decay': 0.0}, 'scheduler': {'_target_': 'torch.optim.lr_scheduler.ReduceLROnPlateau', '_partial_': True, 'mode': 'min', 'factor': 0.1, 'patience': 10}, 'net': {'_target_': 'src.models.components.simple_dense_net.SimpleDenseNet', 'input_size': 784, 'lin1_size': 64, 'lin2_size': 128, 'lin3_size': 64, 'output_size': 10}, 'compile': False}, 'model/params/total': 67978, 'model/params/trainable': 67978, 'model/params/non_trainable': 0, 'data': {'_target_': 'src.data.mnist_datamodule.MNISTDataModule', 'data_dir': '${paths.data_dir}', 'batch_size': 128, 'train_val_test_split': [55000, 5000, 10000], 'num_workers': 0, 'pin_memory': False}, 'trainer': {'_target_': 'lightning.pytorch.trainer.Trainer', 'default_root_dir': '${paths.output_dir}', 'min_epochs': 1, 'max_epochs': 10, 'accelerator': 'mps', 'devices': 1, 'check_val_every_n_epoch': 1, 'deterministic': False}, 'callbacks': {'model_checkpoint': {'_target_': 'lightning.pytorch.callbacks.ModelCheckpoint', 'dirpath': '${paths.output_dir}/checkpoints', 'filename': 'epoch_{epoch:03d}', 'monitor': 'val/acc', 'verbose': False, 'save_last': True, 'save_top_k': 1, 'mode': 'max', 'auto_insert_metric_name': False, 'save_weights_only': False, 'every_n_train_steps': None, 'train_time_interval': None, 'every_n_epochs': None, 'save_on_train_epoch_end': None}, 'early_stopping': {'_target_': 'lightning.pytorch.callbacks.EarlyStopping', 'monitor': 'val/acc', 'min_delta': 0.0, 'patience': 100, 'verbose': False, 'mode': 'max', 'strict': True, 'check_finite': True, 'stopping_threshold': None, 'divergence_threshold': None, 'check_on_train_epoch_end': None}, 'model_summary': {'_target_': 'lightning.pytorch.callbacks.RichModelSummary', 'max_depth': -1}, 'rich_progress_bar': {'_target_': 'lightning.pytorch.callbacks.RichProgressBar'}}, 'extras': {'ignore_warnings': False, 'enforce_tags': True, 'print_config': True}, 'task_name': 'train', 'tags': ['dev'], 'ckpt_path': None, 'seed': None}
