         2174169930 function calls (2174169896 primitive calls) in 1374.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2  109.314   54.657 1240.633  620.316 /SAN/orengolab/cath_plm/ProFam/profam/src/data/binders_datamodule.py:25(__init__)
        2    0.000    0.000 1070.030  535.015 /SAN/orengolab/cath_plm/ProFam/profam/src/data/binders_datamodule.py:62(shuffle_keys)
        2  744.270  372.135 1070.026  535.013 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/random.py:350(shuffle)
        1    0.000    0.000  716.186  716.186 /SAN/orengolab/cath_plm/ProFam/profam/tests/benchmarks/binder_dataloader_speed.py:19(profile_uniprot_dataset)
        1    0.087    0.087  630.891  630.891 /SAN/orengolab/cath_plm/ProFam/profam/tests/benchmarks/binder_dataloader_speed.py:55(profile_combined_dataset)
491794130  204.783    0.000  325.757    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/random.py:242(_randbelow_with_getrandbits)
        1    0.000    0.000   74.644   74.644 /SAN/orengolab/cath_plm/ProFam/profam/src/data/binders_datamodule.py:120(__init__)
        1   45.219   45.219   74.643   74.643 /SAN/orengolab/cath_plm/ProFam/profam/src/data/binders_datamodule.py:141(_prepare_indices)
697167592   63.442    0.000   63.442    0.000 {method 'getrandbits' of '_random.Random' objects}
491793533   60.470    0.000   60.470    0.000 {method 'strip' of 'str' objects}
491794130   57.531    0.000   57.531    0.000 {method 'bit_length' of 'int' objects}
        2   16.706    8.353   45.031   22.516 /SAN/orengolab/cath_plm/ProFam/profam/src/data/binders_datamodule.py:72(__init__)
     1337   35.862    0.027   36.246    0.027 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/pyarrow/parquet/core.py:301(__init__)
        3   28.080    9.360   28.081    9.360 {method 'shuffle' of 'numpy.random.mtrand.RandomState' objects}
        1    2.723    2.723   27.611   27.611 /SAN/orengolab/cath_plm/ProFam/profam/tests/benchmarks/binder_dataloader_speed.py:38(profile_parquet_dataset)
      313    0.058    0.000    8.174    0.026 /SAN/orengolab/cath_plm/ProFam/profam/src/data/binders_datamodule.py:97(__getitem__)
      200    1.482    0.007    5.177    0.026 /SAN/orengolab/cath_plm/ProFam/profam/src/data/binders_datamodule.py:183(__getitem__)
        2    1.343    0.672    1.343    0.672 {built-in method numpy.arange}
        1    0.000    0.000    1.130    1.130 /SAN/orengolab/cath_plm/ProFam/profam/src/utils/tokenizers.py:123(__init__)
        1    0.000    0.000    1.130    1.130 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/transformers/tokenization_utils_fast.py:97(__init__)
        1    1.086    1.086    1.086    1.086 {built-in method from_file}
   635981    0.254    0.000    0.772    0.000 <frozen codecs>:319(decode)
      200    0.013    0.000    0.554    0.003 /SAN/orengolab/cath_plm/ProFam/profam/src/utils/tokenizers.py:162(encode)
   635981    0.518    0.000    0.518    0.000 {built-in method _codecs.utf_8_decode}
      200    0.003    0.000    0.431    0.002 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:2980(__call__)
      200    0.002    0.000    0.428    0.002 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:3070(_call_one)
      200    0.002    0.000    0.426    0.002 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:3185(encode_plus)
      200    0.006    0.000    0.419    0.002 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/transformers/tokenization_utils_fast.py:578(_encode_plus)
      200    0.004    0.000    0.412    0.002 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/transformers/tokenization_utils_fast.py:489(_batch_encode_plus)
     1337    0.248    0.000    0.273    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/pyarrow/fs.py:135(_resolve_filesystem_and_path)
      627    0.004    0.000    0.221    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/logging/__init__.py:2208(info)
      200    0.002    0.000    0.219    0.001 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:207(__init__)
      627    0.003    0.000    0.216    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/logging/__init__.py:1529(info)
